UCWF,UCWDP,UCFDP,UCFMS,UCFMEP,UCAF,UCFMC,UCMVB,UCAH,UCFS,UCFVB,UCFMV,UCFMT,UCHC,UCHAH,UCHV,MVWF2,MVCV,MVDP,MVWF1,MVWF1.setting,MVSO,MVOT,CPPR,CPHE,CPMEP,CPCF,CPHP,CPMC,CPAH,CPMV,CPMT,CPSP,CPDP,UCSDP,AMBH,AMBT,UCAIH,UCAIT,UCAOH,UCAOT,UCWIT,UCWOT,timestamp,experiment_id,season,T_initial,T_setpoint,frequency_factor
0,7,101.1,1395,131,1378,1.06,1.34,42,1421,1.54,353,35.4,3.096,2,407.1,0,-0.05,0,1,1,0,0,29,0,2,0,1,0.008,2.4,406.3,0,66,98,13.19,67,18.7,70.03,17.98,79.57,16.57,10.37,15.64,1970-01-01 00:00:00.000000010,DS05,winter,18.7,28.0,
-2,7,98.17,1395,130,1357,1.06,1.32,62,1421,1.64,353,41.7,3.071,4,404.7,-2,-0.05,2,1,1,0,0,36,0,4,0,-1,0.007,2.9,403.5,0,66,103,14.16,51,22.13,51.93,21.85,49.96,22.24,13.1,17.64,1970-01-01 00:00:00.000000010,DS04,winter,22.13,27.0,
-1,7,100.61,1395,127,1374,1.05,1.31,62,1421,1.51,352,41.7,3.071,4,404.5,-1,-0.05,1,1,1,0,0,37,0,4,0,-1,0.007,2.9,403.4,0,66,103,14.16,51,22.13,51.93,21.85,49.96,22.17,13.05,17.64,1970-01-01 00:00:00.000000011,DS04,winter,22.13,27.0,
0,7,103.54,1395,127,1394,1.06,1.16,42,1430,1.47,353,35.3,3.096,2,407.1,0,-0.05,0,1,1,0,0,29,0,2,0,1,0.008,2.4,406.3,0,67,96,13.19,67,18.7,70.03,17.98,79.62,16.63,10.37,15.59,1970-01-01 00:00:00.000000011,DS05,winter,18.7,28.0,
-2,7,102.08,1395,118,1384,1.04,1.19,42,1432,1.37,353,35.4,3.098,2,407.5,-2,-0.05,2,1,1,0,0,30,0,2,0,1,0.006,2.4,406.3,0,67,97,13.68,67,18.7,70.03,17.98,79.72,16.6,10.37,15.59,1970-01-01 00:00:00.000000012,DS05,winter,18.7,28.0,
0,5,100.61,1395,131,1374,1.05,1.31,62,1421,1.63,353,41.7,3.074,4,404.3,0,-0.05,0,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.4,0,66,103,15.14,51,22.13,51.93,21.85,49.96,22.22,13.1,17.64,1970-01-01 00:00:00.000000012,DS04,winter,22.13,27.0,
0,7,100.12,1395,126,1371,1.06,1.33,42,1433,1.42,353,35.3,3.098,2,407.5,0,-0.05,0,1,1,0,0,29,0,2,0,1,0.006,2.4,406.3,0,67,97,13.19,67,18.7,70.03,17.98,79.72,16.62,10.37,15.59,1970-01-01 00:00:00.000000013,DS05,winter,18.7,28.0,
0,5,101.1,1395,131,1378,1.06,1.38,62,1412,1.48,353,41.7,3.068,4,404.5,0,-0.05,0,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.4,0,66,103,14.65,51,22.13,51.93,21.85,49.96,22.18,13.05,17.64,1970-01-01 00:00:00.000000013,DS04,winter,22.13,27.0,
-2,7,97.68,1395,135,1354,1.06,1.14,42,1410,1.7,353,35.3,3.096,2,408.0,-2,-0.05,2,1,1,0,0,29,0,2,0,1,0.006,2.4,406.7,0,67,97,13.19,67,18.7,70.03,17.98,79.77,16.63,10.37,15.64,1970-01-01 00:00:00.000000014,DS05,winter,18.7,28.0,
0,5,100.61,1395,122,1374,1.06,1.41,62,1412,1.74,353,41.7,3.068,4,404.5,0,-0.05,0,1,1,0,0,36,0,4,0,-1,0.008,2.9,403.4,0,66,103,14.65,51,22.13,51.93,21.85,49.96,22.19,13.05,17.64,1970-01-01 00:00:00.000000014,DS04,winter,22.13,27.0,
